Jarak(L),Total Dispersi (s),Total Daya(dBm)
1,5.005756686056564e-12,246.698
2,5.005756686056564e-12,246.396
3,5.005756686056565e-12,246.094
4,5.005756686056565e-12,245.792
5,5.005756686056565e-12,245.490
6,5.005756686056565e-12,245.188
7,5.005756686056565e-12,244.886
8,5.005756686056566e-12,244.584
9,5.005756686056566e-12,244.282
10,5.0057566860565666e-12,243.980
11,5.0057566860565666e-12,243.678
12,5.0057566860565666e-12,243.376
13,5.005756686056567e-12,243.074
14,5.005756686056567e-12,242.772
15,5.005756686056568e-12,242.470
16,5.005756686056568e-12,242.168
17,5.005756686056569e-12,241.866
18,5.00575668605657e-12,241.564
19,5.005756686056571e-12,241.262
20,5.005756686056571e-12,240.960
21,5.0057566860565714e-12,240.658
22,5.005756686056572e-12,240.356
23,5.005756686056573e-12,240.054
24,5.005756686056574e-12,239.752
25,5.005756686056575e-12,239.450
26,5.0057566860565755e-12,239.148
27,5.005756686056576e-12,238.846
28,5.005756686056577e-12,238.544
29,5.005756686056578e-12,238.242
30,5.0057566860565795e-12,237.940
31,5.00575668605658e-12,237.638
32,5.005756686056581e-12,237.336
33,5.005756686056583e-12,237.034
34,5.0057566860565835e-12,236.732
35,5.005756686056584e-12,236.430
36,5.005756686056586e-12,236.128
37,5.005756686056587e-12,235.826
38,5.005756686056588e-12,235.524
39,5.005756686056589e-12,235.222
40,5.005756686056591e-12,234.920
41,5.005756686056592e-12,234.618
42,5.005756686056593e-12,234.316
43,5.005756686056595e-12,234.014
44,5.0057566860565965e-12,233.712
45,5.005756686056597e-12,233.410
46,5.005756686056599e-12,233.108
47,5.0057566860566005e-12,232.806
48,5.005756686056602e-12,232.504
49,5.005756686056604e-12,232.202
50,5.005756686056605e-12,231.900
51,5.005756686056607e-12,231.598
52,5.0057566860566086e-12,231.296
53,5.00575668605661e-12,230.994
54,5.005756686056613e-12,230.692
55,5.005756686056614e-12,230.390
56,5.005756686056616e-12,230.088
57,5.0057566860566175e-12,229.786
58,5.00575668605662e-12,229.484
59,5.0057566860566215e-12,229.182
60,5.005756686056623e-12,228.880
61,5.0057566860566255e-12,228.578
62,5.005756686056627e-12,228.276
63,5.0057566860566296e-12,227.974
64,5.005756686056631e-12,227.672
65,5.005756686056634e-12,227.370
66,5.005756686056636e-12,227.068
67,5.005756686056638e-12,226.766
68,5.00575668605664e-12,226.464
69,5.0057566860566425e-12,226.162
70,5.005756686056645e-12,225.860
71,5.0057566860566465e-12,225.558
72,5.005756686056649e-12,225.256
73,5.005756686056651e-12,224.954
74,5.005756686056654e-12,224.652
75,5.005756686056656e-12,224.350
76,5.005756686056659e-12,224.048
77,5.005756686056662e-12,223.746
78,5.005756686056664e-12,223.444
79,5.005756686056667e-12,223.142
80,5.005756686056669e-12,222.840
81,5.0057566860566716e-12,222.538
82,5.005756686056675e-12,222.236
83,5.005756686056677e-12,221.934
84,5.00575668605668e-12,221.632
85,5.005756686056683e-12,221.330
86,5.005756686056685e-12,221.028
87,5.0057566860566886e-12,220.726
88,5.005756686056691e-12,220.424
89,5.005756686056694e-12,220.122
90,5.0057566860566974e-12,219.820
91,5.0057566860567e-12,219.518
92,5.005756686056703e-12,219.216
93,5.0057566860567055e-12,218.914
94,5.005756686056709e-12,218.612
95,5.005756686056712e-12,218.310
96,5.005756686056715e-12,218.008
97,5.0057566860567184e-12,217.706
98,5.005756686056722e-12,217.404
99,5.005756686056725e-12,217.102
100,5.005756686056728e-12,216.800
101,5.005756686056731e-12,216.498
102,5.0057566860567346e-12,216.196
103,5.005756686056738e-12,215.894
104,5.005756686056741e-12,215.592
105,5.005756686056745e-12,215.290
106,5.005756686056748e-12,214.988
107,5.0057566860567516e-12,214.686
108,5.005756686056756e-12,214.384
109,5.005756686056759e-12,214.082
110,5.005756686056763e-12,213.780
111,5.005756686056766e-12,213.478
112,5.005756686056769e-12,213.176
113,5.005756686056773e-12,212.874
114,5.0057566860567774e-12,212.572
115,5.005756686056781e-12,212.270
116,5.005756686056785e-12,211.968
117,5.005756686056789e-12,211.666
118,5.005756686056792e-12,211.364
119,5.005756686056796e-12,211.062
120,5.0057566860568e-12,210.760
121,5.005756686056804e-12,210.458
